image_id,class_code,class_label,scientific_name,domain,split,original_group_id,source,source_url,licence,licence_usable,attribution,local_path,sha256,notes
01696a0e-ab97-40b1-b84e-e54856367875,SF001,Kembung / Pelaling,Rastrelliger kanagurta,WILD,train,e4eef75e1776e2c7,INATURALIST,https://www.inaturalist.org/observations/333584834,CC0,YES,no rights reserved,KEMBUNG/inaturalist/01696a0e-ab97-40b1-b84e-e54856367875.jpg,e4eef75e1776e2c70bd9b912f74b000052e0661be1051654823fa2affa22caf8,source=INATURALIST
01ba2c83-03a0-4771-8c2d-6e39535aef44,SF001,Kembung / Pelaling,Rastrelliger kanagurta,WILD,train,3002a42a76d2780d,INATURALIST,https://www.inaturalist.org/observations/319535797,CC-BY-NC,REVIEW,"(c) Marleen Schouten, some rights reserved (CC BY-NC)",KEMBUNG/inaturalist/01ba2c83-03a0-4771-8c2d-6e39535aef44.jpg,3002a42a76d2780dc1c219e2d4bade22293a564238df22dd7258dd7c0e48448e,source=INATURALIST; non-commercial licence
02094956-4a23-4237-8203-2d8c698c35ee,SF001,Kembung / Pelaling,Rastrelliger kanagurta,WILD,val,03d5133c9e3e0597,INATURALIST,https://www.inaturalist.org/observations/321783387,CC-BY-NC,REVIEW,"(c) yoline1984, some rights reserved (CC BY-NC)",KEMBUNG/inaturalist/02094956-4a23-4237-8203-2d8c698c35ee.jpg,03d5133c9e3e05979f022b5cb26dfc671cd62d4af740223b60940a4c43b9f1a7,source=INATURALIST; non-commercial licence
02d49abf-1886-4ca1-9c6e-55f428bc8dda,SF001,Kembung / Pelaling,Rastrelliger kanagurta,WILD,train,a5b6afb23fec6648,INATURALIST,https://www.inaturalist.org/observations/348307272,CC-BY-NC,REVIEW,"(c) TGriffin, some rights reserved (CC BY-NC)",KEMBUNG/inaturalist/02d49abf-1886-4ca1-9c6e-55f428bc8dda.jpg,a5b6afb23fec6648126e6696f1240c1f5647b10db4118b7cba5860db7490e48d,source=INATURALIST; non-commercial licence
0376778f-3504-4bb9-8da2-f956b5195272,SF001,Kembung / Pelaling,Rastrelliger kanagurta,WILD,val,b414c1918c50e60f,INATURALIST,https://www.inaturalist.org/observations/319535739,CC-BY-NC,REVIEW,"(c) Marleen Schouten, some rights reserved (CC BY-NC)",KEMBUNG/inaturalist/0376778f-3504-4bb9-8da2-f956b5195272.jpg,b414c1918c50e60feb986454cc32579950e04a5e9a5450dcc39841c6c375006d,source=INATURALIST; non-commercial licence
03dc8693-b703-432a-b804-0dde3a1bbf7a,SF001,Kembung / Pelaling,Rastrelliger kanagurta,WILD,train,c5a556ddd9c6c098,GBIF,https://www.inaturalist.org/observations/271177090,CC-BY-NC,REVIEW,davidbeo,KEMBUNG/gbif/03dc8693-b703-432a-b804-0dde3a1bbf7a.jpg,c5a556ddd9c6c0983491daf18844dca6dbd00935e5d50060f94a13ec7bd77ba9,source=GBIF; non-commercial licence
03f4f23b-bc1f-47d7-ad07-f304d67ebeee,SF001,Kembung / Pelaling,Rastrelliger kanagurta,WILD,train,827cedc3bb7bc4a9,GBIF,https://www.inaturalist.org/observations/266825787,CC-BY-NC,REVIEW,babie_goblin,KEMBUNG/gbif/03f4f23b-bc1f-47d7-ad07-f304d67ebeee.jpg,827cedc3bb7bc4a908a485ed102ba2fa8716f13b17aa9d4c1558876df68c8557,source=GBIF; non-commercial licence
0660bcb1-4d54-4daf-bcc0-9dc108d96887,SF001,Kembung / Pelaling,Rastrelliger kanagurta,WILD,val,e1606eac64ef1a4b,INATURALIST,https://www.inaturalist.org/observations/325067794,CC-BY-NC,REVIEW,"(c) craigjhowe, some rights reserved (CC BY-NC)",KEMBUNG/inaturalist/0660bcb1-4d54-4daf-bcc0-9dc108d96887.jpg,e1606eac64ef1a4baa9a60b9e11b04393c6e30cf57c8206533fa9aec70f9b9ac,source=INATURALIST; non-commercial licence
067c4428-340e-452e-b574-c779b6220eec,SF001,Kembung / Pelaling,Rastrelliger kanagurta,WILD,train,57d74e394cf63d65,INATURALIST,https://www.inaturalist.org/observations/319535797,CC-BY-NC,REVIEW,"(c) Marleen Schouten, some rights reserved (CC BY-NC)",KEMBUNG/inaturalist/067c4428-340e-452e-b574-c779b6220eec.jpg,57d74e394cf63d650caf3f5e3fb55d931c6ba0091f538db94bd77f3d500c5f2a,source=INATURALIST; non-commercial licence
06a8f345-b5f0-4f39-b4f5-ef447fb8ca65,SF001,Kembung / Pelaling,Rastrelliger kanagurta,WILD,val,ef5e2a7ab4b97d5a,WIKIMEDIA_COMMONS,https://commons.wikimedia.org/wiki/File:Rastrelliger_kanagurta_Landaagiraavaru.JPG,CC-BY-SA,YES,The uploader on Wikimedia Commons received this from the author/copyright holder.,KEMBUNG/wikimedia_commons/06a8f345-b5f0-4f39-b4f5-ef447fb8ca65.jpg,ef5e2a7ab4b97d5aae43dbf35336633990327f75185c54afc383ced05c60d1fe,source=WIKIMEDIA_COMMONS; taxon_match=EXACT_CATEGORY
